"base_model","shape","talla","rank","alpha","network","optimizer","ep","batch","gas","unet_lr","te_lr","sched","warm","snr","noise_off","wd","d_coef","workers","x_over"
"cagliostrolab/animagine-xl-4.0","style","ECH","32","32","conv","adamw","52","4","2","3E-05","1.2E-06","constant_with_warmup","25","7","0.02","0.01",,"4",""
"cagliostrolab/animagine-xl-4.0","style","CH","32","32","conv","adamw","52","8","1","3.5E-05","1.4E-06","cosine","50","7","0.025","0.01",,"4",""
"cagliostrolab/animagine-xl-4.0","style","M","32","32","conv","adamw","40","8","1","4E-05","1.6E-06","cosine","75","7","0.03","0.01",,"4",""
"cagliostrolab/animagine-xl-4.0","style","G","32","32","conv","adamw","30","10","1","4.5E-05","1.8E-06","cosine","100","7","0.035","0.01",,"6",""
"cagliostrolab/animagine-xl-4.0","style","EG","32","32","conv","adamw","20","12","1","3.5E-05","1.4E-06","cosine","120","7","0.04","0.01",,"8",""
"cagliostrolab/animagine-xl-4.0","subject","ECH","96","96","conv","prodigy","52","4","2","0.95","0.95","constant",,"7",,"0.01","1.2","4",""
"cagliostrolab/animagine-xl-4.0","subject","CH","96","96","conv","prodigy","52","8","1","1.0","1.0","constant",,"7",,"0.01","1.15","4",""
"cagliostrolab/animagine-xl-4.0","subject","M","96","96","conv","prodigy","40","8","1","1.05","1.05","constant_with_warmup","50","7",,"0.01","1.1","4",""
"cagliostrolab/animagine-xl-4.0","subject","G","96","96","conv","prodigy","30","10","1","1.1","1.1","constant_with_warmup","75","7",,"0.01","1.0","6",""
"cagliostrolab/animagine-xl-4.0","subject","EG","96","96","conv","prodigy","20","12","1","1.15","1.15","constant_with_warmup","100","7",,"0.01","0.9","8",""
"Corcelio/mobius","style","ECH","32","32","conv","adamw","38","4","2","2.2E-05","1E-06","constant_with_warmup","25","6","0.02","0.00015",,"4",""
"Corcelio/mobius","style","CH","32","32","conv","adamw","32","6","1","2.8E-05","1.2E-06","cosine","50","6","0.025","0.00012",,"4",""
"Corcelio/mobius","style","M","32","32","conv","adamw","25","8","1","3.2E-05","1.5E-06","cosine","75","6","0.03","0.0001",,"4",""
"Corcelio/mobius","style","G","32","32","conv","adamw","18","10","1","3.6E-05","1.8E-06","cosine","100","6","0.035","0.0001",,"6",""
"Corcelio/mobius","style","EG","32","32","conv","adamw","11","12","1","4E-05","2E-06","cosine","120","6","0.04","0.0001",,"8",""
"Corcelio/mobius","subject","ECH","32","32","plain","prodigy","35","4","2","0.8","0.8","constant",,"6",,"0.015","1.3","4",""
"Corcelio/mobius","subject","CH","32","32","plain","prodigy","32","6","1","0.9","0.9","constant",,"6",,"0.015","1.2","4",""
"Corcelio/mobius","subject","M","32","32","plain","prodigy","26","8","1","1.0","1.0","constant_with_warmup","50","6",,"0.01","1.1","4",""
"Corcelio/mobius","subject","G","32","32","plain","prodigy","19","10","1","1.1","1.1","constant_with_warmup","75","6",,"0.01","1.0","6",""
"Corcelio/mobius","subject","EG","32","32","plain","prodigy","11","12","1","1.2","1.2","constant_with_warmup","100","6",,"0.01","0.9","8",""
"dataautogpt3/CALAMITY","style","ECH","32","32","conv","adamw","25","4","1","3E-05","3E-06","cosine","20","7","0.0411","0.0001",,"2",""
"dataautogpt3/CALAMITY","style","CH","32","32","conv","adamw","25","4","1","3E-05","3E-06","cosine","20","7","0.0411",,,"2",""
"dataautogpt3/CALAMITY","style","M","32","32","conv","adamw","25","4","1","3E-05","3E-06","cosine","20","7","0.0411","0.0001",,"2",""
"dataautogpt3/CALAMITY","style","G","32","32","conv","adamw","18","10","1","3.8E-05","1.9E-06","cosine","100","6","0.033","0.0001",,"6",""
"dataautogpt3/CALAMITY","style","EG","32","32","conv","adamw","11","12","1","4E-05","2E-06","cosine","120","6","0.04","0.0001",,"8",""
"dataautogpt3/CALAMITY","subject","ECH","32","32","conv","prodigy","70","4","2","0.95","0.95","constant",,"5",,"0.01","1.2","4","prior_loss_weight"
"dataautogpt3/CALAMITY","subject","CH","32","32","conv","prodigy","32","6","1","0.9","0.9","constant",,"6",,"0.015","0.8","4","caption_dropout_rate"
"dataautogpt3/CALAMITY","subject","M","32","32","conv","prodigy","26","8","1","1.0","1.0","constant_with_warmup","50","6",,"0.01","1.1","4",""
"dataautogpt3/CALAMITY","subject","G","32","32","conv","prodigy","30","4","1","1","1","constant",,"5",,"0.01","1.0","2",""
"dataautogpt3/CALAMITY","subject","EG","32","32","conv","prodigy","11","12","1","1.2","1.2","constant_with_warmup","100","6",,"0.01","0.9","8",""
"dataautogpt3/ProteusSigma","style","ECH","32","32","conv","adamw","38","4","2","2.2E-05","1E-06","constant_with_warmup","25","6","0.02","0.00015",,"4",""
"dataautogpt3/ProteusSigma","style","CH","32","32","conv","adamw","32","6","1","2.8E-05","1.2E-06","cosine","50","6","0.025","0.00012",,"4",""
"dataautogpt3/ProteusSigma","style","M","32","32","conv","adamw","25","8","1","3.2E-05","1.5E-06","cosine","75","6","0.03","0.0001",,"4",""
"dataautogpt3/ProteusSigma","style","G","32","32","conv","adamw","18","10","1","3.6E-05","1.8E-06","cosine","100","6","0.035","0.0001",,"6",""
"dataautogpt3/ProteusSigma","style","EG","32","32","conv","adamw","11","12","1","4E-05","2E-06","cosine","120","6","0.04","0.0001",,"8",""
"dataautogpt3/ProteusSigma","subject","ECH","32","32","conv","prodigy","35","4","2","0.8","0.8","constant",,"6",,"0.015","1.3","4",""
"dataautogpt3/ProteusSigma","subject","CH","32","32","conv","prodigy","32","6","1","0.9","0.9","constant",,"6",,"0.015","1.2","4",""
"dataautogpt3/ProteusSigma","subject","M","32","32","conv","prodigy","26","8","1","1.0","1.0","constant_with_warmup","50","6",,"0.01","1.1","4",""
"dataautogpt3/ProteusSigma","subject","G","32","32","conv","prodigy","19","10","1","1.1","1.1","constant_with_warmup","75","6",,"0.01","1.0","6",""
"dataautogpt3/ProteusSigma","subject","EG","32","32","conv","prodigy","11","12","1","1.2","1.2","constant_with_warmup","100","6",,"0.01","0.9","8",""
"dataautogpt3/ProteusV0.5","style","ECH","32","32","conv","adamw","40","4","2","3E-05","1.5E-06","constant_with_warmup","25","5","0.02","0.00015",,"4","caption_dropout_rate"
"dataautogpt3/ProteusV0.5","style","CH","32","32","conv","adamw","50","6","1","3E-05","1.5E-06","cosine","50","5","0.035","0.00015",,"4","caption_dropout_rate;huber_c;huber_schedule"
"dataautogpt3/ProteusV0.5","style","M","32","32","conv","adamw","30","8","1","3E-05","1.5E-06","cosine","75","5","0.025","0.0001",,"4","caption_dropout_rate"
"dataautogpt3/ProteusV0.5","style","G","32","32","conv","adamw","24","10","1","3E-05","1.5E-06","cosine","75","5","0.03","0.0001",,"6","caption_dropout_rate"
"dataautogpt3/ProteusV0.5","style","EG","32","32","conv","adamw","14","12","1","3.5E-05","1.8E-06","cosine","100","5","0.035","0.0001",,"8","caption_dropout_rate"
"dataautogpt3/ProteusV0.5","subject","ECH","64","64","conv","prodigy","50","4","1","0.8","0.8","constant",,"7",,"0.02","1.0","4",""
"dataautogpt3/ProteusV0.5","subject","CH","64","64","conv","prodigy","42","4","1","0.8","0.8","constant",,"7",,"0.05","0.8","4",""
"dataautogpt3/ProteusV0.5","subject","M","64","64","conv","prodigy","30","8","1","0.9","0.9","cosine","50","7",,"0.03","1.0","4",""
"dataautogpt3/ProteusV0.5","subject","G","64","64","conv","prodigy","28","6","1","1.1","1.1","constant_with_warmup","50","7",,"0.02","1.1","6",""
"dataautogpt3/ProteusV0.5","subject","EG","64","64","conv","prodigy","14","12","1","1.1","1.1","cosine","100","6",,"0.02","1.0","8",""
"dataautogpt3/TempestV0.1","style","ECH","32","32","conv","adamw","20","4","1","2E-05","2E-06","cosine","20","8",,"0.0001",,"4",""
"dataautogpt3/TempestV0.1","style","CH","32","32","conv","adamw","20","4","1","2E-05","2E-06","cosine","25","8","0.0357","0.0001",,"4",""
"dataautogpt3/TempestV0.1","style","M","32","32","conv","adamw","20","4","1","2E-05","2E-06","cosine","25","8","0.0357","0.0001",,"4",""
"dataautogpt3/TempestV0.1","style","G","32","32","conv","adamw","20","4","1","2E-05","2E-06","cosine","25","8","0.0357","0.0001",,"6",""
"dataautogpt3/TempestV0.1","style","EG","32","32","conv","adamw","20","4","1","2E-05","2E-06","cosine","25","8","0.0357","0.0001",,"8",""
"dataautogpt3/TempestV0.1","subject","ECH","64","64","plain","prodigy","35","4","2","0.8","0.8","constant",,"6",,"0.015","1.3","4",""
"dataautogpt3/TempestV0.1","subject","CH","64","64","plain","prodigy","32","6","1","0.9","0.9","constant",,"6",,"0.015","1.2","4",""
"dataautogpt3/TempestV0.1","subject","M","64","64","plain","prodigy","26","8","1","1.0","1.0","constant_with_warmup","50","6",,"0.01","1.1","4",""
"dataautogpt3/TempestV0.1","subject","G","64","64","plain","prodigy","30","6","1","1.0","1.0","constant",,"6",,"0.01","1.0","6",""
"dataautogpt3/TempestV0.1","subject","EG","64","64","plain","prodigy","11","12","1","1.2","1.2","constant_with_warmup","100","6",,"0.01","0.9","8",""
"ehristoforu/Visionix-alpha","style","ECH","32","32","conv","adamw","50","6","1","2.5E-05","1E-06","cosine","25","6","0.032","0.003",,"4",""
"ehristoforu/Visionix-alpha","style","CH","32","32","conv","adamw","33","6","1","2.94E-05","1.2E-06","cosine","50","6","0.025","0.00012",,"4",""
"ehristoforu/Visionix-alpha","style","M","32","32","conv","adamw","26","8","1","3.36E-05","1.5E-06","cosine","75","6","0.03","0.0001",,"4",""
